User-ID,Persona,Primary_Genre,Secondary_Genre
10105,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10106,Crafts & Lifestyle Reader,"Crafts, Home & Lifestyle","Health, Family & Personal Development, Business & Economics"
10107,Law & Governance Reader,Law,"Exam Preparation, Higher Education Textbooks"
10108,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10109,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10110,Language & Writing Enthusiast,"Language, Linguistics & Writing","Literature & Fiction, Arts, Film & Photography"
10111,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10112,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10113,Exam Preparation Student,Exam Preparation,"Higher Education Textbooks, Engineering"
10114,Exam Preparation Student,Exam Preparation,"Higher Education Textbooks, Engineering"
10115,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10116,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10117,Children's Book Reader,Children's Books,"Language, Linguistics & Writing, Literature & Fiction"
10118,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10119,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10120,Children's Book Reader,Children's Books,"Language, Linguistics & Writing, Literature & Fiction"
10121,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10122,Children's Book Reader,Children's Books,"Language, Linguistics & Writing, Literature & Fiction"
10123,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10124,Law & Governance Reader,Law,"Exam Preparation, Higher Education Textbooks"
10125,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10126,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10127,Crime & Mystery Reader,"Crime, Thriller & Mystery","Fantasy, Horror & Science Fiction, Literature & Fiction"
10128,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10129,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10130,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10131,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10132,Language & Writing Enthusiast,"Language, Linguistics & Writing","Literature & Fiction, Arts, Film & Photography"
10133,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10134,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10135,Higher Education Student,Higher Education Textbooks,"Engineering, Exam Preparation"
10136,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10137,Law & Governance Reader,Law,"Exam Preparation, Higher Education Textbooks"
10138,Crime & Mystery Reader,"Crime, Thriller & Mystery","Fantasy, Horror & Science Fiction, Literature & Fiction"
10139,Children's Book Reader,Children's Books,"Language, Linguistics & Writing, Literature & Fiction"
10140,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10141,Language & Writing Enthusiast,"Language, Linguistics & Writing","Literature & Fiction, Arts, Film & Photography"
10142,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10143,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10144,Exam Preparation Student,Exam Preparation,"Higher Education Textbooks, Engineering"
10145,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10146,Crafts & Lifestyle Reader,"Crafts, Home & Lifestyle","Health, Family & Personal Development, Business & Economics"
10147,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10148,Exam Preparation Student,Exam Preparation,"Higher Education Textbooks, Engineering"
10149,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10150,Crime & Mystery Reader,"Crime, Thriller & Mystery","Fantasy, Horror & Science Fiction, Literature & Fiction"
10151,Law & Governance Reader,Law,"Exam Preparation, Higher Education Textbooks"
10152,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10153,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10154,Exam Preparation Student,Exam Preparation,"Higher Education Textbooks, Engineering"
10155,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10156,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10157,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10158,Children's Book Reader,Children's Books,"Language, Linguistics & Writing, Literature & Fiction"
10159,Crafts & Lifestyle Reader,"Crafts, Home & Lifestyle","Health, Family & Personal Development, Business & Economics"
10160,Crafts & Lifestyle Reader,"Crafts, Home & Lifestyle","Health, Family & Personal Development, Business & Economics"
10161,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10162,Crime & Mystery Reader,"Crime, Thriller & Mystery","Fantasy, Horror & Science Fiction, Literature & Fiction"
10163,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10164,Crafts & Lifestyle Reader,"Crafts, Home & Lifestyle","Health, Family & Personal Development, Business & Economics"
10165,Children's Book Reader,Children's Books,"Language, Linguistics & Writing, Literature & Fiction"
10166,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10167,Children's Book Reader,Children's Books,"Language, Linguistics & Writing, Literature & Fiction"
10168,Children's Book Reader,Children's Books,"Language, Linguistics & Writing, Literature & Fiction"
10169,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10170,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10171,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10172,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10173,Law & Governance Reader,Law,"Exam Preparation, Higher Education Textbooks"
10174,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10175,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10176,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10177,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10178,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10179,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10180,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10181,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10182,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10183,Higher Education Student,Higher Education Textbooks,"Engineering, Exam Preparation"
10184,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10185,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10186,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10187,Crime & Mystery Reader,"Crime, Thriller & Mystery","Fantasy, Horror & Science Fiction, Literature & Fiction"
10188,Exam Preparation Student,Exam Preparation,"Higher Education Textbooks, Engineering"
10189,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10190,Children's Book Reader,Children's Books,"Language, Linguistics & Writing, Literature & Fiction"
10191,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10192,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10193,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10194,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10195,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10196,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10197,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10198,Higher Education Student,Higher Education Textbooks,"Engineering, Exam Preparation"
10199,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10200,Law & Governance Reader,Law,"Exam Preparation, Higher Education Textbooks"
10201,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10202,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10203,Children's Book Reader,Children's Books,"Language, Linguistics & Writing, Literature & Fiction"
10204,Crafts & Lifestyle Reader,"Crafts, Home & Lifestyle","Health, Family & Personal Development, Business & Economics"
10205,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10206,Crafts & Lifestyle Reader,"Crafts, Home & Lifestyle","Health, Family & Personal Development, Business & Economics"
10207,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10208,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10209,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10210,Crafts & Lifestyle Reader,"Crafts, Home & Lifestyle","Health, Family & Personal Development, Business & Economics"
10211,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10212,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10213,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10214,Crafts & Lifestyle Reader,"Crafts, Home & Lifestyle","Health, Family & Personal Development, Business & Economics"
10215,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10216,Law & Governance Reader,Law,"Exam Preparation, Higher Education Textbooks"
10217,Children's Book Reader,Children's Books,"Language, Linguistics & Writing, Literature & Fiction"
10218,Higher Education Student,Higher Education Textbooks,"Engineering, Exam Preparation"
10219,Crime & Mystery Reader,"Crime, Thriller & Mystery","Fantasy, Horror & Science Fiction, Literature & Fiction"
10220,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10221,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10222,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10223,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10224,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10225,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10226,Law & Governance Reader,Law,"Exam Preparation, Higher Education Textbooks"
10227,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10228,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10229,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10230,Crafts & Lifestyle Reader,"Crafts, Home & Lifestyle","Health, Family & Personal Development, Business & Economics"
10231,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10232,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10233,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10234,Crime & Mystery Reader,"Crime, Thriller & Mystery","Fantasy, Horror & Science Fiction, Literature & Fiction"
10235,Higher Education Student,Higher Education Textbooks,"Engineering, Exam Preparation"
10236,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10237,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10238,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10239,Law & Governance Reader,Law,"Exam Preparation, Higher Education Textbooks"
10240,Language & Writing Enthusiast,"Language, Linguistics & Writing","Literature & Fiction, Arts, Film & Photography"
10241,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10242,Children's Book Reader,Children's Books,"Language, Linguistics & Writing, Literature & Fiction"
10243,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10244,Language & Writing Enthusiast,"Language, Linguistics & Writing","Literature & Fiction, Arts, Film & Photography"
10245,Language & Writing Enthusiast,"Language, Linguistics & Writing","Literature & Fiction, Arts, Film & Photography"
10246,Crafts & Lifestyle Reader,"Crafts, Home & Lifestyle","Health, Family & Personal Development, Business & Economics"
10247,Language & Writing Enthusiast,"Language, Linguistics & Writing","Literature & Fiction, Arts, Film & Photography"
10248,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10249,Law & Governance Reader,Law,"Exam Preparation, Higher Education Textbooks"
10250,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10251,Law & Governance Reader,Law,"Exam Preparation, Higher Education Textbooks"
10252,Higher Education Student,Higher Education Textbooks,"Engineering, Exam Preparation"
10253,Law & Governance Reader,Law,"Exam Preparation, Higher Education Textbooks"
10254,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10255,Crime & Mystery Reader,"Crime, Thriller & Mystery","Fantasy, Horror & Science Fiction, Literature & Fiction"
10256,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10257,Crafts & Lifestyle Reader,"Crafts, Home & Lifestyle","Health, Family & Personal Development, Business & Economics"
10258,Language & Writing Enthusiast,"Language, Linguistics & Writing","Literature & Fiction, Arts, Film & Photography"
10259,Higher Education Student,Higher Education Textbooks,"Engineering, Exam Preparation"
10260,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10261,Higher Education Student,Higher Education Textbooks,"Engineering, Exam Preparation"
10262,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10263,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10264,Crafts & Lifestyle Reader,"Crafts, Home & Lifestyle","Health, Family & Personal Development, Business & Economics"
10265,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10266,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10267,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10268,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10269,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10270,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10271,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10272,Children's Book Reader,Children's Books,"Language, Linguistics & Writing, Literature & Fiction"
10273,Children's Book Reader,Children's Books,"Language, Linguistics & Writing, Literature & Fiction"
10274,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10275,Crime & Mystery Reader,"Crime, Thriller & Mystery","Fantasy, Horror & Science Fiction, Literature & Fiction"
10276,Higher Education Student,Higher Education Textbooks,"Engineering, Exam Preparation"
10277,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10278,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10279,Crime & Mystery Reader,"Crime, Thriller & Mystery","Fantasy, Horror & Science Fiction, Literature & Fiction"
10280,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10281,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10282,Crime & Mystery Reader,"Crime, Thriller & Mystery","Fantasy, Horror & Science Fiction, Literature & Fiction"
10283,Higher Education Student,Higher Education Textbooks,"Engineering, Exam Preparation"
10284,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10285,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10286,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10287,Crime & Mystery Reader,"Crime, Thriller & Mystery","Fantasy, Horror & Science Fiction, Literature & Fiction"
10288,Crime & Mystery Reader,"Crime, Thriller & Mystery","Fantasy, Horror & Science Fiction, Literature & Fiction"
