User-ID,Favorite_Main_Genres,Favorite_Sub_Genres,Favorite_Authors,Average_Rating_Given,Number_of_Books_Rated,Highest_Rated_Genres,Reading_Diversity,Most_Frequently_Read_Genres
244,"Literature & Fiction|Higher Education Textbooks|Computing, Internet & Digital Media","Myths, Legends & Sagas|Social Sciences|Operating Systems",Compiled by Maple Press|Sigmund Freud|Felix Alvaro,3.5,3,"Higher Education Textbooks|Literature & Fiction|Computing, Internet & Digital Media",3,"Literature & Fiction|Higher Education Textbooks|Computing, Internet & Digital Media"
254,"Children's Books|Romance|Crafts, Home & Lifestyle",Literature & Fiction|Mafia Romance|Mysteries & Curiosities,Wonder House Books|Ruskin Bond|Enid Blyton,4.0576923076923075,52,"Sports|Fantasy, Horror & Science Fiction|History",18,"Children's Books|Romance|Crafts, Home & Lifestyle"
256,Higher Education Textbooks|Children's Books,Social Sciences|History,Arvind Otta|Wonder House Books,4.5,2,Higher Education Textbooks|Children's Books,2,Higher Education Textbooks|Children's Books
272,Literature & Fiction,Essays,William J. Long,4.5,1,Literature & Fiction,1,Literature & Fiction
280,"Crafts, Home & Lifestyle",Lifestyle & Personal Style Guides,Alex Bond,3.5,1,"Crafts, Home & Lifestyle",1,"Crafts, Home & Lifestyle"
300,Literature & Fiction,Poetry,Vidya Chitr Prakashan,4.5,1,Literature & Fiction,1,Literature & Fiction
306,Business & Economics,Industries,Simon Johnson,4.5,1,Business & Economics,1,Business & Economics
343,Romance,Small Town Romance,B.K. Borison,4.0,1,Romance,1,Romance
367,"Crime, Thriller & Mystery",Thrillers and Suspense,செவத்த சிங்காரி,4.5,1,"Crime, Thriller & Mystery",1,"Crime, Thriller & Mystery"
372,Children's Books,Education & Reference,Maple Press,4.0,1,Children's Books,1,Children's Books
383,Children's Books|Exam Preparation,Literature & Fiction|Professional Certification Exams,Wonder House Books|IAS (Retd.) Dr. Pramod Kumar Agrawal,4.0,2,Exam Preparation|Children's Books,2,Children's Books|Exam Preparation
384,Literature & Fiction|Politics,Classic Fiction|International Relations & Globalization,Harper Lee|Jack Farchy,4.25,2,Literature & Fiction|Politics,2,Literature & Fiction|Politics
387,Business & Economics|Sports,Industries|Sporting Events & Organisations,Mikael Krogerus|Rory Smith,4.25,2,Business & Economics|Sports,2,Business & Economics|Sports
388,"Children's Books|Business & Economics|Computing, Internet & Digital Media",Humour|Industries|Computer Science,Jeff Kinney|Joy Bhattacharjya|Roger Penrose,4.3,5,Children's Books|Medicine & Health Sciences|Business & Economics,5,"Children's Books|Business & Economics|Computing, Internet & Digital Media"
392,Children's Books,Animals & Pets,GERONIMO STILTON,5.0,1,Children's Books,1,Children's Books
408,School Books,International School Boards,Oswaal Editorial Board,4.5,1,School Books,1,School Books
413,Exam Preparation,"Arts, Design and Education Exams",RPH Editorial Board,4.0,1,Exam Preparation,1,Exam Preparation
422,"Fantasy, Horror & Science Fiction",Fantasy,J.K. Rowling,5.0,1,"Fantasy, Horror & Science Fiction",1,"Fantasy, Horror & Science Fiction"
424,"Children's Books|Crafts, Home & Lifestyle|Exam Preparation",Money & Jobs|Home & House Maintenance|Growing Up & Facts of Life,Cinders McLeod|Arina Suchde|Aditi Gupta,3.875,4,"Children's Books|Exam Preparation|Crafts, Home & Lifestyle",3,"Children's Books|Crafts, Home & Lifestyle|Exam Preparation"
432,Sports,Juggling,Blonde beauty cosplay photo studio Ai,3.0,1,Sports,1,Sports
441,Children's Books,Historical Fiction,Alan Gratz,4.0,1,Children's Books,1,Children's Books
446,Children's Books,Interactive & Activity Books,Wonder House Books,4.0,1,Children's Books,1,Children's Books
476,"Children's Books|Computing, Internet & Digital Media|History",Money & Jobs|Software|Biographies & Autobiographies,Rosemary Marandi|ks ks|Jaun Elia,4.333333333333333,3,"Children's Books|Computing, Internet & Digital Media|History",3,"Children's Books|Computing, Internet & Digital Media|History"
486,Children's Books,Humour,Jeff Kinney|B. J. Novak,4.25,2,Children's Books,1,Children's Books
487,"Children's Books|Computing, Internet & Digital Media|Higher Education Textbooks",Language Learning|Engineering Textbooks|Paranormal,Dreamland Publications|RIES ERIC|Arianna Fraser,3.6875,8,"Children's Books|Language, Linguistics & Writing|Computing, Internet & Digital Media",6,"Children's Books|Computing, Internet & Digital Media|Higher Education Textbooks"
493,Higher Education Textbooks,Social Sciences,Chitra Banerjee Divakaruni,4.0,1,Higher Education Textbooks,1,Higher Education Textbooks
496,"Arts, Film & Photography",Cinema & Broadcast,John Truby,4.0,1,"Arts, Film & Photography",1,"Arts, Film & Photography"
501,Medicine & Health Sciences,Nursing,Shama B. Ahmed,3.5,1,Medicine & Health Sciences,1,Medicine & Health Sciences
503,Romance|Literature & Fiction|Children's Books,Action & Adventure|Short Stories|Historical Fiction,Piper Stone|Manav Kaul|Team Pegasus,3.8333333333333335,3,Children's Books|Romance|Literature & Fiction,3,Romance|Literature & Fiction|Children's Books
505,Religion|Romance,Islam|Jainism|Paranormal,Sandeep Balakrishna|பா. ராகவன் Pa Raghavan|Sarah J. Maas,3.6666666666666665,3,Romance|Religion,2,Religion|Romance
507,"Children's Books|Politics|Computing, Internet & Digital Media",Language Learning|Literature & Fiction|International Relations & Globalization,Wonder House Books|Shyam Saran|Ken Kocienda,4.0588235294117645,17,"Sports|Computing, Internet & Digital Media|Arts, Film & Photography",11,"Children's Books|Politics|Computing, Internet & Digital Media"
508,Literature & Fiction,"Crime, Thriller & Mystery",O. J. Mullen,3.5,1,Literature & Fiction,1,Literature & Fiction
523,Children's Books,Crime & Thriller,Tahereh Mafi,4.0,1,Children's Books,1,Children's Books
537,Law,Tax Law,Indian Institute of Banking & Finance,3.5,1,Law,1,Law
558,"Arts, Film & Photography",Theory & Criticism,Rashid Yasin,4.0,1,"Arts, Film & Photography",1,"Arts, Film & Photography"
559,Children's Books,Humour,Jeff Kinney,4.5,1,Children's Books,1,Children's Books
564,Romance,New Adult & College,முகில்கீத்ஸ் Mukhil Geetz,4.5,1,Romance,1,Romance
569,Children's Books,Animals & Pets,Eric Carle,5.0,1,Children's Books,1,Children's Books
595,Exam Preparation,Medical Entrance,ALLEN Expert Faculties,5.0,1,Exam Preparation,1,Exam Preparation
618,Literature & Fiction,Classic Fiction,Goswami Tulsidas,3.5,1,Literature & Fiction,1,Literature & Fiction
620,"Sciences, Technology & Medicine",Astronomy,Stephen Hawking,3.5,1,"Sciences, Technology & Medicine",1,"Sciences, Technology & Medicine"
625,"Crafts, Home & Lifestyle|Biographies, Diaries & True Accounts",Lifestyle & Personal Style Guides|True Accounts,Meik Wiking|Anurag Pathak,4.5,2,"Crafts, Home & Lifestyle|Biographies, Diaries & True Accounts",2,"Crafts, Home & Lifestyle|Biographies, Diaries & True Accounts"
626,Children's Books,Animals & Pets,Eric Carle,4.0,1,Children's Books,1,Children's Books
638,"Children's Books|Business & Economics|Computing, Internet & Digital Media",Industries|Interactive & Activity Books|Religion,Wonder House Books|Joy Bhattacharjya|Jack  P,4.526315789473684,19,"Business & Economics|Fantasy, Horror & Science Fiction|Crafts, Home & Lifestyle",11,"Children's Books|Business & Economics|Computing, Internet & Digital Media"
643,"Children's Books|Literature & Fiction|Arts, Film & Photography","Myths, Legends & Sagas|Reference|Theater & Ballet","Shubha Vilas|Veena Aggarwal, R S; Aggarwal|Sonia Mehta",4.3,5,"Arts, Film & Photography|Children's Books|Literature & Fiction",3,"Children's Books|Literature & Fiction|Arts, Film & Photography"
645,"Arts, Film & Photography",Cinema & Broadcast,NEENA GUPTA,4.5,1,"Arts, Film & Photography",1,"Arts, Film & Photography"
651,"Children's Books|Crafts, Home & Lifestyle",Literature & Fiction|Games & Quizzes,Wonder House Books|Steve the Noob,3.25,2,"Children's Books|Crafts, Home & Lifestyle",2,"Children's Books|Crafts, Home & Lifestyle"
660,Children's Books,"Fairy Tales, Folk Tales & Myths",Rick Riordan,4.0,1,Children's Books,1,Children's Books
695,"Sciences, Technology & Medicine",Biology & Life Sciences,Dr Anna Lembke,3.5,1,"Sciences, Technology & Medicine",1,"Sciences, Technology & Medicine"
698,"Crafts, Home & Lifestyle",Games & Quizzes,Steve the Noob,4.5,1,"Crafts, Home & Lifestyle",1,"Crafts, Home & Lifestyle"
711,"Arts, Film & Photography",Music,Dr. Tejsingh Taak,4.5,1,"Arts, Film & Photography",1,"Arts, Film & Photography"
714,"Sciences, Technology & Medicine|Computing, Internet & Digital Media",Astronomy|Software,Om Books Editorial Team|Jim Corbett,3.25,2,"Sciences, Technology & Medicine|Computing, Internet & Digital Media",2,"Sciences, Technology & Medicine|Computing, Internet & Digital Media"
728,"Crafts, Home & Lifestyle",Games & Quizzes,Wonder House Books,4.0,1,"Crafts, Home & Lifestyle",1,"Crafts, Home & Lifestyle"
735,"Children's Books|Higher Education Textbooks|Sciences, Technology & Medicine","Money & Jobs|Fantasy, Science Fiction & Horror|Social Sciences",Laura Driscoll|J.K. Rowling|Vikram Sampath,4.2,5,Higher Education Textbooks|Literature & Fiction|Children's Books,4,"Children's Books|Higher Education Textbooks|Sciences, Technology & Medicine"
741,Medicine & Health Sciences|Religion|Romance,Biology & Life Sciences|Test Preparation & Review|Jainism,A.Lizy Sonia Ph.D.(Nursing)  M.SC (Nursing) Speciality:Medical Surgical Nursing B.SC (Nursing)|Acharya Mahapragya|JI YA,4.333333333333333,9,"Medicine & Health Sciences|Sciences, Technology & Medicine|Religion",9,Medicine & Health Sciences|Religion|Romance
743,Children's Books,History,Subhadra Sen Gupta,4.0,1,Children's Books,1,Children's Books
746,"Politics|Religion|Arts, Film & Photography",Freedom & Security|Islam|Theater & Ballet,Ziya Us Salam|Mufti Muhammad Taqi Usmaani|Jeannette Nelson,4.2,5,"Children's Books|Religion|Arts, Film & Photography",5,"Politics|Religion|Arts, Film & Photography"
757,Religion,Jainism,Pujya Gurudevshri Rakeshji,4.0,1,Religion,1,Religion
763,Children's Books,"Growing Up & Facts of Life|Humour|Fairy Tales, Folk Tales & Myths",Jeff Kinney|Liz Pichon|Sudha Murty,4.666666666666667,3,Children's Books,1,Children's Books
776,Exam Preparation,Polytechnics & ITI,Arihant Experts,3.5,1,Exam Preparation,1,Exam Preparation
778,"Language, Linguistics & Writing",Writing Guides,Dan B Nelken,5.0,1,"Language, Linguistics & Writing",1,"Language, Linguistics & Writing"
786,Literature & Fiction,"Myths, Legends & Sagas",Kevin Missal,3.0,1,Literature & Fiction,1,Literature & Fiction
791,Children's Books,Holidays & Celebrations,Sigal Adler,4.0,1,Children's Books,1,Children's Books
805,Children's Books|Exam Preparation|Literature & Fiction,Humour|Medical Entrance|Interactive & Activity Books,Wonder House Books|Dr. Vipin Kumar Sharma|B. J. Novak,3.8333333333333335,12,Children's Books|Literature & Fiction|Teen & Young Adult,5,Children's Books|Exam Preparation|Literature & Fiction
819,"Arts, Film & Photography|Children's Books",Theory & Criticism|Growing Up & Facts of Life,Rashid Yasin|Jeff Kinney,4.0,2,"Children's Books|Arts, Film & Photography",2,"Arts, Film & Photography|Children's Books"
834,"Computing, Internet & Digital Media",Databases & Big Data,Narasimha Karumanchi,4.5,1,"Computing, Internet & Digital Media",1,"Computing, Internet & Digital Media"
843,"Exam Preparation|Medicine & Health Sciences|Crime, Thriller & Mystery",Polytechnics & ITI|Test Preparation & Review|Thrillers and Suspense,"Nirmal pandey Sanjeev Dixit , Dr. Ajay Kumar |Kaplan Nursing|செவத்த சிங்காரி",3.8333333333333335,3,"Exam Preparation|Medicine & Health Sciences|Crime, Thriller & Mystery",3,"Exam Preparation|Medicine & Health Sciences|Crime, Thriller & Mystery"
850,Business & Economics,Analysis & Strategy,Benjamin Graham,4.5,1,Business & Economics,1,Business & Economics
853,Romance,New Adult & College,EMILY HENRY,4.5,1,Romance,1,Romance
882,Children's Books|Exam Preparation|Medicine & Health Sciences,Nursing|Medical Entrance|Polytechnics & ITI,Wonder House Books|Jitika Royal|Muthuvenkatachalam Srinivasan,4.283333333333333,30,Business & Economics|Engineering|Law,14,Children's Books|Exam Preparation|Medicine & Health Sciences
885,Children's Books,Geography & Cultures,Roald Dahl,4.0,1,Children's Books,1,Children's Books
900,Exam Preparation,Medical Entrance,Dr. Vipin Kumar Sharma,4.5,1,Exam Preparation,1,Exam Preparation
901,"Children's Books|Computing, Internet & Digital Media",Money & Jobs|Operating Systems|Animals & Pets,Sophie Giles|WALEED HASSAN|Eric Carle,4.333333333333333,3,"Children's Books|Computing, Internet & Digital Media",2,"Children's Books|Computing, Internet & Digital Media"
913,Religion,Islam,Maulana Muhammad Junaagadi,3.0,1,Religion,1,Religion
914,Children's Books|Business & Economics,"Fairy Tales, Folk Tales & Myths|Analysis & Strategy",Kelly Barnhill|Eric Jorgenson,4.75,2,Business & Economics|Children's Books,2,Children's Books|Business & Economics
915,Children's Books,"Humour|Fairy Tales, Folk Tales & Myths",B. J. Novak|Sudha Murty,4.75,2,Children's Books,1,Children's Books
929,"Children's Books|Crafts, Home & Lifestyle|Fantasy, Horror & Science Fiction",Language Learning|Games & Quizzes|Horror,Wonder House Books|Franz Kafka|Ronnie O'Sullivan,3.6666666666666665,6,Children's Books|Sports|Medicine & Health Sciences,5,"Children's Books|Crafts, Home & Lifestyle|Fantasy, Horror & Science Fiction"
933,Literature & Fiction,Classic Fiction,Joseph Murphy,3.0,1,Literature & Fiction,1,Literature & Fiction
970,Children's Books,Animals & Pets,Eric Carle,5.0,1,Children's Books,1,Children's Books
981,Society & Social Sciences,Society & Culture,Ichiro Kishimi and Fumitake Koga,5.0,1,Society & Social Sciences,1,Society & Social Sciences
989,"Language, Linguistics & Writing",Writing Guides,Dan B Nelken,4.5,1,"Language, Linguistics & Writing",1,"Language, Linguistics & Writing"
996,Medicine & Health Sciences,Reference,Ross Vasta,4.0,1,Medicine & Health Sciences,1,Medicine & Health Sciences
1008,Children's Books,Interactive & Activity Books,Wonder House Books,4.5,1,Children's Books,1,Children's Books
1009,"Language, Linguistics & Writing|Children's Books",Writing Guides|Interactive & Activity Books,PUSTAK MAHAL EDITORIAL BOARD|Wonder House Books,4.5,2,"Children's Books|Language, Linguistics & Writing",2,"Language, Linguistics & Writing|Children's Books"
1011,Exam Preparation,Medical Entrance,"Sudhanshu Kumar PW, Subhash Azad, Anurag Pareek",3.0,1,Exam Preparation,1,Exam Preparation
1021,Children's Books,Language Learning,Faye Berryman & Phillip O'Carroll,5.0,1,Children's Books,1,Children's Books
1022,Higher Education Textbooks,Social Sciences,Coco Mellors,5.0,1,Higher Education Textbooks,1,Higher Education Textbooks
1025,Children's Books,"Fairy Tales, Folk Tales & Myths|Money & Jobs|Animals & Pets",Wonder House Books|Ladybird|Eric Carle,4.0,3,Children's Books,1,Children's Books
1031,Comics & Mangas,Comics,Jeff Kinney,3.5,1,Comics & Mangas,1,Comics & Mangas
1032,Children's Books,Language Learning|Computers & Technology,MTG Editorial Board|Stan Berenstain,4.5,2,Children's Books,1,Children's Books
1054,Children's Books,Traditional Stories,Maple Press,4.0,1,Children's Books,1,Children's Books
1057,School Books,Olympiads & Scholarship Exams,MTG Editorial Board,4.5,1,School Books,1,School Books
1075,Business & Economics|Children's Books,Industries|Literature & Fiction,Wonder House Books|Joy Bhattacharjya|Ashlee Vance,4.0,3,Children's Books|Business & Economics,2,Business & Economics|Children's Books
1082,Exam Preparation,Medical Entrance,Dr. Manish Raj (M.R. Sir),5.0,1,Exam Preparation,1,Exam Preparation
1083,"Sciences, Technology & Medicine|Children's Books","Biology & Life Sciences|Science, Nature & Technology",Peter Wohlleben|Wonder House Books,3.25,2,"Children's Books|Sciences, Technology & Medicine",2,"Sciences, Technology & Medicine|Children's Books"
1084,Higher Education Textbooks,Social Sciences,Dr Shefali Tsabary,4.0,1,Higher Education Textbooks,1,Higher Education Textbooks
1093,Religion,Islam,A.Helwa,3.0,1,Religion,1,Religion
1111,"Business & Economics|Computing, Internet & Digital Media",Industries|Network Administration,Joy Bhattacharjya|Linus Torvalds,4.5,2,"Business & Economics|Computing, Internet & Digital Media",2,"Business & Economics|Computing, Internet & Digital Media"
1113,Literature & Fiction|Children's Books,Classic Fiction|Humour|Growing Up & Facts of Life,Paulo Coelho|Full Sea Books|Aditi Gupta,4.0,3,Literature & Fiction|Children's Books,2,Literature & Fiction|Children's Books
1118,Children's Books,Mysteries & Curiosities,Wonder House Books,4.0,1,Children's Books,1,Children's Books
1129,Children's Books|Literature & Fiction|Higher Education Textbooks,Humour|Social Sciences|Education & Reference,James N. Yanez|Chitra Banerjee Divakaruni|Wonder House Books,3.625,4,Children's Books|Literature & Fiction|Higher Education Textbooks,3,Children's Books|Literature & Fiction|Higher Education Textbooks
1131,"Children's Books|Computing, Internet & Digital Media|Fantasy, Horror & Science Fiction",Language Learning|Humour|Network Administration,"Wonder House Books|Jeff Kinney|Carl L. Pritchard, PMP, PMI-RMP, EVP",3.576923076923077,13,"Language, Linguistics & Writing|Children's Books|Exam Preparation",7,"Children's Books|Computing, Internet & Digital Media|Fantasy, Horror & Science Fiction"
1138,"Arts, Film & Photography",Theory & Criticism,Geronimo Stilton,3.5,1,"Arts, Film & Photography",1,"Arts, Film & Photography"
1140,Sports|Children's Books,Sporting Events & Organisations|Animals & Pets,Jimmy Anderson|Eric Carle,5.0,2,Children's Books|Sports,2,Sports|Children's Books
1155,Children's Books,"Education & Reference|Fantasy, Science Fiction & Horror",NCERT|J.K. Rowling,4.25,2,Children's Books,1,Children's Books
1161,Romance,Enemies to Lovers,Cora Reilly,3.0,1,Romance,1,Romance
1170,Romance,Multicultural & Interracial,Marian Tee,4.0,1,Romance,1,Romance
1184,"Romance|Computing, Internet & Digital Media|Literature & Fiction",Small Town Romance|Network Administration|Humour,Abbi Glines|Hanghang Tong|Rajani Thindiath,4.0,4,"Romance|Literature & Fiction|Computing, Internet & Digital Media",4,"Romance|Computing, Internet & Digital Media|Literature & Fiction"
1193,Children's Books,Holidays & Celebrations,Judith Kerr,4.0,1,Children's Books,1,Children's Books
1210,Children's Books,Religion,Penguin India,4.5,1,Children's Books,1,Children's Books
1211,"Comics & Mangas|Arts, Film & Photography|Business & Economics",Mangas|Music|Industries,Hajime Isayama|Dr. Tejsingh Taak|Ashlee Vance,4.0,7,"Business & Economics|Arts, Film & Photography|Biographies, Diaries & True Accounts",7,"Comics & Mangas|Arts, Film & Photography|Business & Economics"
1214,Children's Books,Historical Fiction,David Walliams,4.0,1,Children's Books,1,Children's Books
1235,"Fantasy, Horror & Science Fiction",Horror,Jennise K,4.5,1,"Fantasy, Horror & Science Fiction",1,"Fantasy, Horror & Science Fiction"
1249,"Crafts, Home & Lifestyle|Computing, Internet & Digital Media","Handicrafts, Decorative Arts & Crafts|Network Administration",Beth Kempton|Hanghang Tong,4.0,2,"Computing, Internet & Digital Media|Crafts, Home & Lifestyle",2,"Crafts, Home & Lifestyle|Computing, Internet & Digital Media"
1254,Children's Books,Humour,Liz Pichon,4.5,1,Children's Books,1,Children's Books
1261,Children's Books,Literature & Fiction|Holidays & Celebrations,Wonder House Books|Peppa Pig,3.75,2,Children's Books,1,Children's Books
1264,"Computing, Internet & Digital Media",Programming & Software Development,Sam Newman,4.0,1,"Computing, Internet & Digital Media",1,"Computing, Internet & Digital Media"
1281,"Arts, Film & Photography",Theory & Criticism,Rashid Yasin,3.5,1,"Arts, Film & Photography",1,"Arts, Film & Photography"
1293,"Fantasy, Horror & Science Fiction",Horror,Arnab Ray,5.0,1,"Fantasy, Horror & Science Fiction",1,"Fantasy, Horror & Science Fiction"
1294,"Health, Family & Personal Development",Personal Transformation,Morgan Housel,3.5,1,"Health, Family & Personal Development",1,"Health, Family & Personal Development"
1297,Children's Books,Religion,Penguin India,3.5,1,Children's Books,1,Children's Books
1309,Children's Books|Exam Preparation,Historical Fiction|Medical Entrance,"Leigh Bardugo|Anuksha Arora Ajay Kumar, Swati Chauhan ",4.25,2,Exam Preparation|Children's Books,2,Children's Books|Exam Preparation
1325,Business & Economics,Economics,Sunil Gurjar,4.5,1,Business & Economics,1,Business & Economics
1343,Children's Books,Animals & Pets,Eric Carle,4.5,1,Children's Books,1,Children's Books
1348,Medicine & Health Sciences|Children's Books,Administration & Policy|Picture Books,Geetanjali Bhide|LADYBIRD,4.25,2,Medicine & Health Sciences|Children's Books,2,Medicine & Health Sciences|Children's Books
1359,Children's Books,Mysteries & Curiosities,Enid Blyton,3.5,1,Children's Books,1,Children's Books
1368,Children's Books,"Family, Personal & Social Issues",Tom Percival,3.5,1,Children's Books,1,Children's Books
1372,Sports,Sporting Events & Organisations,Ken Xiao,4.5,1,Sports,1,Sports
1376,"Health, Family & Personal Development",Personal Transformation,James Clear,4.0,1,"Health, Family & Personal Development",1,"Health, Family & Personal Development"
1377,Children's Books,Picture Books,Dreamland Publications,4.0,1,Children's Books,1,Children's Books
1389,Children's Books,Growing Up & Facts of Life,Cori Doerrfeld,4.5,1,Children's Books,1,Children's Books
1409,Literature & Fiction,Classic Fiction,Antoine De Saint-Exupéry,4.0,1,Literature & Fiction,1,Literature & Fiction
1412,Children's Books,Humour|Money & Jobs,B. J. Novak|The Victory Project: Six Steps to Peak Potential Anupam Gupta,4.5,2,Children's Books,1,Children's Books
1424,"Children's Books|Computing, Internet & Digital Media|Exam Preparation",Programming & Software Development|Language Learning|Theater & Ballet,Faye Berryman & Phillip O'Carroll|Berg Craig|அஞ்சனா  சுபி,3.6,15,Literature & Fiction|Exam Preparation|Children's Books,10,"Children's Books|Computing, Internet & Digital Media|Exam Preparation"
1435,"Children's Books|Exam Preparation|Fantasy, Horror & Science Fiction","Money & Jobs|Horror|Arts, Design and Education Exams",Wonder House Books|Dr. Renu Mishra & EBS Team|Chandan Deshmukh,4.052631578947368,19,"Medicine & Health Sciences|Arts, Film & Photography|Fantasy, Horror & Science Fiction",9,"Children's Books|Exam Preparation|Fantasy, Horror & Science Fiction"
1436,Comics & Mangas|Children's Books,Comics|Growing Up & Facts of Life,SHALINI SRINIVASAN|Jeff Kinney,3.5,2,Children's Books|Comics & Mangas,2,Comics & Mangas|Children's Books
1448,Children's Books,Religion,Rick Riordan,3.0,1,Children's Books,1,Children's Books
1485,Romance,New Adult & College,T L Swan,4.0,1,Romance,1,Romance
1489,Exam Preparation,Polytechnics & ITI,Arihant Experts,4.0,1,Exam Preparation,1,Exam Preparation
1513,Children's Books,Growing Up & Facts of Life,Jeff Kinney,4.0,1,Children's Books,1,Children's Books
1519,Children's Books,Interactive & Activity Books,Wonder House Books,4.0,1,Children's Books,1,Children's Books
1530,Children's Books,History,Wonder House Books,4.0,1,Children's Books,1,Children's Books
1533,Higher Education Textbooks,Engineering Textbooks,Peter Sykes,3.5,1,Higher Education Textbooks,1,Higher Education Textbooks
1535,Exam Preparation,Medical Entrance,CEREBELUM,5.0,1,Exam Preparation,1,Exam Preparation
1548,Children's Books|Medicine & Health Sciences|Engineering,Nursing|Electrical & Electronic Engineering|Holidays & Celebrations,Sreevani R|David J. Griffiths|Peppa Pig,4.25,4,Engineering|Children's Books|Medicine & Health Sciences,3,Children's Books|Medicine & Health Sciences|Engineering
1559,Children's Books,Humour,Jeff Kinney,5.0,1,Children's Books,1,Children's Books
1585,"Children's Books|Crime, Thriller & Mystery","Money & Jobs|Thrillers and Suspense|Games, Toys & Activities",Srishti Agrawal|Akshat Gupta|Wonder House Books,3.6666666666666665,3,"Crime, Thriller & Mystery|Children's Books",2,"Children's Books|Crime, Thriller & Mystery"
1591,Children's Books,"Fairy Tales, Folk Tales & Myths",Wonder House Books,5.0,1,Children's Books,1,Children's Books
1596,"Computing, Internet & Digital Media",Programming & Software Development,LCF Publishing,3.0,1,"Computing, Internet & Digital Media",1,"Computing, Internet & Digital Media"
